  1.621118E+01 -1.400000E+01
  1.620998E+01 -1.400000E+01
  1.610592E+01 -1.400000E+01
  1.610472E+01 -1.400000E+01
  1.600066E+01 -1.400000E+01
  1.599946E+01 -1.400000E+01
  1.589540E+01 -1.400000E+01
  1.589420E+01 -1.400000E+01
  1.579014E+01 -1.400000E+01
  1.578894E+01 -1.400000E+01
  1.568488E+01 -1.400000E+01
  1.568368E+01 -1.400000E+01
  1.557962E+01 -1.400000E+01
  1.557842E+01 -1.400000E+01
  1.547436E+01 -1.400000E+01
  1.547316E+01 -1.400000E+01
  1.536910E+01 -1.400000E+01
  1.536790E+01 -1.400000E+01
  1.526384E+01 -1.400000E+01
  1.526264E+01 -1.400000E+01
  1.515858E+01 -1.400000E+01
  1.515738E+01 -1.400000E+01
  1.505332E+01 -1.400000E+01
  1.505212E+01 -1.400000E+01
  1.494806E+01 -1.400000E+01
  1.494686E+01 -1.400000E+01
  1.484280E+01 -1.400000E+01
  1.484160E+01 -1.400000E+01
  1.473754E+01 -1.400000E+01
  1.473634E+01 -1.400000E+01
  1.463228E+01 -1.400000E+01
  1.463108E+01 -1.400000E+01
  1.452702E+01 -1.400000E+01
  1.452582E+01 -1.400000E+01
  1.442176E+01 -1.400000E+01
  1.442056E+01 -1.400000E+01
  1.431650E+01 -1.400000E+01
  1.431530E+01 -1.400000E+01
  1.421124E+01 -1.400000E+01
  1.421004E+01 -1.400000E+01
  1.410599E+01 -1.400000E+01
  1.410478E+01 -1.400000E+01
  1.400073E+01 -1.400000E+01
  1.399952E+01 -1.400000E+01
  1.389547E+01 -1.400000E+01
  1.389427E+01 -1.400000E+01
  1.379021E+01 -1.400000E+01
  1.378901E+01 -1.400000E+01
  1.368495E+01 -1.400000E+01
  1.368375E+01 -1.400000E+01
  1.357969E+01 -1.400000E+01
  1.357849E+01 -1.400000E+01
  1.347443E+01 -1.400000E+01
  1.347323E+01 -1.400000E+01
  1.336917E+01 -1.400000E+01
  1.336797E+01 -1.400000E+01
  1.326391E+01 -1.400000E+01
  1.326271E+01 -1.400000E+01
  1.315865E+01 -1.400000E+01
  1.315745E+01 -1.400000E+01
  1.305339E+01 -1.400000E+01
  1.305219E+01 -1.400000E+01
  1.294813E+01 -1.400000E+01
  1.294693E+01 -1.400000E+01
  1.284287E+01 -1.400000E+01
  1.284167E+01 -1.400000E+01
  1.273761E+01 -1.400000E+01
  1.273641E+01 -1.400000E+01
  1.263235E+01 -1.400000E+01
  1.263115E+01 -1.400000E+01
  1.252709E+01 -1.400000E+01
  1.252589E+01 -1.400000E+01
  1.242183E+01 -1.400000E+01
  1.242063E+01 -1.400000E+01
  1.231657E+01 -1.400000E+01
  1.231537E+01 -1.400000E+01
  1.221131E+01 -1.400000E+01
  1.221011E+01 -1.400000E+01
  1.210605E+01 -1.400000E+01
  1.210485E+01 -1.400000E+01
  1.200079E+01 -1.400000E+01
  1.199959E+01 -1.400000E+01
  1.189553E+01 -1.400000E+01
  1.189433E+01 -1.400000E+01
  1.179027E+01 -1.400000E+01
  1.178907E+01 -1.400000E+01
  1.168501E+01 -1.400000E+01
  1.168381E+01 -1.400000E+01
  1.157976E+01 -1.400000E+01
  1.157855E+01 -1.400000E+01
  1.147450E+01 -1.400000E+01
  1.147329E+01 -1.400000E+01
  1.136924E+01 -1.400000E+01
  1.136804E+01 -1.400000E+01
  1.126398E+01 -1.400000E+01
  1.126278E+01 -1.400000E+01
  1.115872E+01 -1.400000E+01
  1.115752E+01 -1.400000E+01
  1.105346E+01 -1.400000E+01
  1.105226E+01 -1.400000E+01
  1.094820E+01 -1.400000E+01
  1.094700E+01 -1.400000E+01
  1.084294E+01 -1.400000E+01
  1.084174E+01 -1.400000E+01
  1.073768E+01 -1.400000E+01
  1.073648E+01 -1.400000E+01
  1.063242E+01 -1.400000E+01
  1.063122E+01 -1.400000E+01
  1.052716E+01 -1.400000E+01
  1.052596E+01 -1.400000E+01
  1.042190E+01 -1.400000E+01
  1.042070E+01 -1.400000E+01
  1.031664E+01 -1.400000E+01
  1.031544E+01 -1.400000E+01
  1.021138E+01 -1.400000E+01
  1.021018E+01 -1.400000E+01
  1.010612E+01 -1.400000E+01
  1.010492E+01 -1.400000E+01
  1.000086E+01 -1.400000E+01
  9.999661E+00 -1.400000E+01
  9.895602E+00 -1.400000E+01
  9.894401E+00 -1.400000E+01
  9.790342E+00 -1.400000E+01
  9.789142E+00 -1.400000E+01
  9.685083E+00 -1.400000E+01
  9.683882E+00 -1.400000E+01
  9.579823E+00 -1.400000E+01
  9.578622E+00 -1.400000E+01
  9.474563E+00 -1.400000E+01
  9.473363E+00 -1.400000E+01
  9.369304E+00 -1.400000E+01
  9.368103E+00 -1.400000E+01
  9.264044E+00 -1.400000E+01
  9.262844E+00 -1.400000E+01
  9.158785E+00 -1.400000E+01
  9.157584E+00 -1.400000E+01
  9.053525E+00 -1.400000E+01
  9.052324E+00 -1.400000E+01
  8.948266E+00 -1.400000E+01
  8.947065E+00 -1.400000E+01
  8.843006E+00 -1.400000E+01
  8.841805E+00 -1.400000E+01
  8.737746E+00 -1.400000E+01
  8.736546E+00 -1.400000E+01
  8.632487E+00 -1.400000E+01
  8.631286E+00 -1.400000E+01
  8.527227E+00 -1.400000E+01
  8.526026E+00 -1.400000E+01
  8.421968E+00 -1.400000E+01
  8.420767E+00 -1.400000E+01
  8.316708E+00 -1.400000E+01
  8.315507E+00 -1.400000E+01
  8.211448E+00 -1.400000E+01
  8.210248E+00 -1.400000E+01
  8.106189E+00 -1.400000E+01
  8.104988E+00 -1.400000E+01
  8.000929E+00 -1.400000E+01
  7.999729E+00 -1.400000E+01
  7.895670E+00 -1.400000E+01
  7.894469E+00 -1.400000E+01
  7.790410E+00 -1.400000E+01
  7.789209E+00 -1.400000E+01
  7.685150E+00 -1.400000E+01
  7.683950E+00 -1.400000E+01
  7.579891E+00 -1.400000E+01
  7.578690E+00 -1.400000E+01
  7.474631E+00 -1.400000E+01
  7.473431E+00 -1.400000E+01
  7.369372E+00 -1.400000E+01
  7.368171E+00 -1.400000E+01
  7.264112E+00 -1.400000E+01
  7.262911E+00 -1.400000E+01
  7.158853E+00 -1.400000E+01
  7.157652E+00 -1.400000E+01
