  1.405279E+01 -1.400000E+01
  1.405249E+01 -1.400000E+01
  1.402648E+01 -1.400000E+01
  1.402618E+01 -1.400000E+01
  1.400016E+01 -1.400000E+01
  1.399986E+01 -1.400000E+01
  1.397385E+01 -1.400000E+01
  1.397355E+01 -1.400000E+01
  1.394753E+01 -1.400000E+01
  1.394723E+01 -1.400000E+01
  1.392122E+01 -1.400000E+01
  1.392092E+01 -1.400000E+01
  1.389490E+01 -1.400000E+01
  1.389460E+01 -1.400000E+01
  1.386859E+01 -1.400000E+01
  1.386829E+01 -1.400000E+01
  1.384228E+01 -1.400000E+01
  1.384197E+01 -1.400000E+01
  1.381596E+01 -1.400000E+01
  1.381566E+01 -1.400000E+01
  1.378965E+01 -1.400000E+01
  1.378935E+01 -1.400000E+01
  1.376333E+01 -1.400000E+01
  1.376303E+01 -1.400000E+01
  1.373702E+01 -1.400000E+01
  1.373672E+01 -1.400000E+01
  1.371070E+01 -1.400000E+01
  1.371040E+01 -1.400000E+01
  1.368439E+01 -1.400000E+01
  1.368409E+01 -1.400000E+01
  1.365807E+01 -1.400000E+01
  1.365777E+01 -1.400000E+01
  1.363176E+01 -1.400000E+01
  1.363146E+01 -1.400000E+01
  1.360544E+01 -1.400000E+01
  1.360514E+01 -1.400000E+01
  1.357913E+01 -1.400000E+01
  1.357883E+01 -1.400000E+01
  1.355281E+01 -1.400000E+01
  1.355251E+01 -1.400000E+01
  1.352650E+01 -1.400000E+01
  1.352620E+01 -1.400000E+01
  1.350018E+01 -1.400000E+01
  1.349988E+01 -1.400000E+01
  1.347387E+01 -1.400000E+01
  1.347357E+01 -1.400000E+01
  1.344755E+01 -1.400000E+01
  1.344725E+01 -1.400000E+01
  1.342124E+01 -1.400000E+01
  1.342094E+01 -1.400000E+01
  1.339492E+01 -1.400000E+01
  1.339462E+01 -1.400000E+01
  1.336861E+01 -1.400000E+01
  1.336831E+01 -1.400000E+01
  1.334229E+01 -1.400000E+01
  1.334199E+01 -1.400000E+01
  1.331598E+01 -1.400000E+01
  1.331568E+01 -1.400000E+01
  1.328966E+01 -1.400000E+01
  1.328936E+01 -1.400000E+01
  1.326335E+01 -1.400000E+01
  1.326305E+01 -1.400000E+01
  1.323703E+01 -1.400000E+01
  1.323673E+01 -1.400000E+01
  1.321072E+01 -1.400000E+01
  1.321042E+01 -1.400000E+01
  1.318440E+01 -1.400000E+01
  1.318410E+01 -1.400000E+01
  1.315809E+01 -1.400000E+01
  1.315779E+01 -1.400000E+01
  1.313177E+01 -1.400000E+01
  1.313147E+01 -1.400000E+01
  1.310546E+01 -1.400000E+01
  1.310516E+01 -1.400000E+01
  1.307914E+01 -1.400000E+01
  1.307884E+01 -1.400000E+01
  1.305283E+01 -1.400000E+01
  1.305253E+01 -1.400000E+01
  1.302651E+01 -1.400000E+01
  1.302621E+01 -1.400000E+01
  1.300020E+01 -1.400000E+01
  1.299990E+01 -1.400000E+01
  1.297388E+01 -1.400000E+01
  1.297358E+01 -1.400000E+01
  1.294757E+01 -1.400000E+01
  1.294727E+01 -1.400000E+01
  1.292125E+01 -1.400000E+01
  1.292095E+01 -1.400000E+01
  1.289494E+01 -1.400000E+01
  1.289464E+01 -1.400000E+01
  1.286862E+01 -1.400000E+01
  1.286832E+01 -1.400000E+01
  1.284231E+01 -1.400000E+01
  1.284201E+01 -1.400000E+01
  1.281599E+01 -1.400000E+01
  1.281569E+01 -1.400000E+01
  1.278968E+01 -1.400000E+01
  1.278938E+01 -1.400000E+01
  1.276336E+01 -1.400000E+01
  1.276306E+01 -1.400000E+01
  1.273705E+01 -1.400000E+01
  1.273675E+01 -1.400000E+01
  1.271073E+01 -1.400000E+01
  1.271043E+01 -1.400000E+01
  1.268442E+01 -1.400000E+01
  1.268412E+01 -1.400000E+01
  1.265810E+01 -1.400000E+01
  1.265780E+01 -1.400000E+01
  1.263179E+01 -1.400000E+01
  1.263149E+01 -1.400000E+01
  1.260547E+01 -1.400000E+01
  1.260517E+01 -1.400000E+01
  1.257916E+01 -1.400000E+01
  1.257886E+01 -1.400000E+01
  1.255285E+01 -1.400000E+01
  1.255254E+01 -1.400000E+01
  1.252653E+01 -1.400000E+01
  1.252623E+01 -1.400000E+01
  1.250022E+01 -1.400000E+01
  1.249992E+01 -1.400000E+01
  1.247390E+01 -1.400000E+01
  1.247360E+01 -1.400000E+01
  1.244759E+01 -1.400000E+01
  1.244729E+01 -1.400000E+01
  1.242127E+01 -1.400000E+01
  1.242097E+01 -1.400000E+01
  1.239496E+01 -1.400000E+01
  1.239466E+01 -1.400000E+01
  1.236864E+01 -1.400000E+01
  1.236834E+01 -1.400000E+01
  1.234233E+01 -1.400000E+01
  1.234203E+01 -1.400000E+01
  1.231601E+01 -1.400000E+01
  1.231571E+01 -1.400000E+01
  1.228970E+01 -1.400000E+01
  1.228940E+01 -1.400000E+01
  1.226338E+01 -1.400000E+01
  1.226308E+01 -1.400000E+01
  1.223707E+01 -1.400000E+01
  1.223677E+01 -1.400000E+01
  1.221075E+01 -1.400000E+01
  1.221045E+01 -1.400000E+01
  1.218444E+01 -1.400000E+01
  1.218414E+01 -1.400000E+01
  1.215812E+01 -1.400000E+01
  1.215782E+01 -1.400000E+01
  1.213181E+01 -1.400000E+01
  1.213151E+01 -1.400000E+01
  1.210549E+01 -1.400000E+01
  1.210519E+01 -1.400000E+01
  1.207918E+01 -1.400000E+01
  1.207888E+01 -1.400000E+01
  1.205286E+01 -1.400000E+01
  1.205256E+01 -1.400000E+01
  1.202655E+01 -1.400000E+01
  1.202625E+01 -1.400000E+01
  1.200023E+01 -1.400000E+01
  1.199993E+01 -1.400000E+01
  1.197392E+01 -1.400000E+01
  1.197362E+01 -1.400000E+01
  1.194760E+01 -1.400000E+01
  1.194730E+01 -1.400000E+01
  1.192129E+01 -1.400000E+01
  1.192099E+01 -1.400000E+01
  1.189497E+01 -1.400000E+01
  1.189467E+01 -1.400000E+01
  1.186866E+01 -1.400000E+01
  1.186836E+01 -1.400000E+01
  1.184234E+01 -1.400000E+01
  1.184204E+01 -1.400000E+01
  1.181603E+01 -1.400000E+01
  1.181573E+01 -1.400000E+01
  1.178971E+01 -1.400000E+01
  1.178941E+01 -1.400000E+01
  1.176340E+01 -1.400000E+01
  1.176310E+01 -1.400000E+01
  1.173708E+01 -1.400000E+01
  1.173678E+01 -1.400000E+01
  1.171077E+01 -1.400000E+01
  1.171047E+01 -1.400000E+01
  1.168445E+01 -1.400000E+01
  1.168415E+01 -1.400000E+01
  1.165814E+01 -1.400000E+01
  1.165784E+01 -1.400000E+01
  1.163182E+01 -1.400000E+01
  1.163152E+01 -1.400000E+01
  1.160551E+01 -1.400000E+01
  1.160521E+01 -1.400000E+01
  1.157919E+01 -1.400000E+01
  1.157889E+01 -1.400000E+01
  1.155288E+01 -1.400000E+01
  1.155258E+01 -1.400000E+01
  1.152656E+01 -1.400000E+01
  1.152626E+01 -1.400000E+01
  1.150025E+01 -1.400000E+01
  1.149995E+01 -1.400000E+01
  1.147393E+01 -1.400000E+01
  1.147363E+01 -1.400000E+01
  1.144762E+01 -1.400000E+01
  1.144732E+01 -1.400000E+01
  1.142130E+01 -1.400000E+01
  1.142100E+01 -1.400000E+01
  1.139499E+01 -1.400000E+01
  1.139469E+01 -1.400000E+01
  1.136867E+01 -1.400000E+01
  1.136837E+01 -1.400000E+01
  1.134236E+01 -1.400000E+01
  1.134206E+01 -1.400000E+01
  1.131605E+01 -1.400000E+01
  1.131574E+01 -1.400000E+01
  1.128973E+01 -1.400000E+01
  1.128943E+01 -1.400000E+01
  1.126342E+01 -1.400000E+01
  1.126312E+01 -1.400000E+01
  1.123710E+01 -1.400000E+01
  1.123680E+01 -1.400000E+01
  1.121079E+01 -1.400000E+01
  1.121049E+01 -1.400000E+01
  1.118447E+01 -1.400000E+01
  1.118417E+01 -1.400000E+01
  1.115816E+01 -1.400000E+01
  1.115786E+01 -1.400000E+01
  1.113184E+01 -1.400000E+01
  1.113154E+01 -1.400000E+01
  1.110553E+01 -1.400000E+01
  1.110523E+01 -1.400000E+01
  1.107921E+01 -1.400000E+01
  1.107891E+01 -1.400000E+01
  1.105290E+01 -1.400000E+01
  1.105260E+01 -1.400000E+01
  1.102658E+01 -1.400000E+01
  1.102628E+01 -1.400000E+01
  1.100027E+01 -1.400000E+01
  1.099997E+01 -1.400000E+01
  1.097395E+01 -1.400000E+01
  1.097365E+01 -1.400000E+01
  1.094764E+01 -1.400000E+01
  1.094734E+01 -1.400000E+01
  1.092132E+01 -1.400000E+01
  1.092102E+01 -1.400000E+01
  1.089501E+01 -1.400000E+01
  1.089471E+01 -1.400000E+01
  1.086869E+01 -1.400000E+01
  1.086839E+01 -1.400000E+01
  1.084238E+01 -1.400000E+01
  1.084208E+01 -1.400000E+01
  1.081606E+01 -1.400000E+01
  1.081576E+01 -1.400000E+01
  1.078975E+01 -1.400000E+01
  1.078945E+01 -1.400000E+01
  1.076343E+01 -1.400000E+01
  1.076313E+01 -1.400000E+01
  1.073712E+01 -1.400000E+01
  1.073682E+01 -1.400000E+01
  1.071080E+01 -1.400000E+01
  1.071050E+01 -1.400000E+01
  1.068449E+01 -1.400000E+01
  1.068419E+01 -1.400000E+01
  1.065817E+01 -1.400000E+01
  1.065787E+01 -1.400000E+01
  1.063186E+01 -1.400000E+01
  1.063156E+01 -1.400000E+01
  1.060554E+01 -1.400000E+01
  1.060524E+01 -1.400000E+01
  1.057923E+01 -1.400000E+01
  1.057893E+01 -1.400000E+01
  1.055291E+01 -1.400000E+01
  1.055261E+01 -1.400000E+01
  1.052660E+01 -1.400000E+01
  1.052630E+01 -1.400000E+01
  1.050028E+01 -1.400000E+01
  1.049998E+01 -1.400000E+01
  1.047397E+01 -1.400000E+01
  1.047367E+01 -1.400000E+01
  1.044765E+01 -1.400000E+01
  1.044735E+01 -1.400000E+01
  1.042134E+01 -1.400000E+01
  1.042104E+01 -1.400000E+01
  1.039502E+01 -1.400000E+01
  1.039472E+01 -1.400000E+01
  1.036871E+01 -1.400000E+01
  1.036841E+01 -1.400000E+01
  1.034239E+01 -1.400000E+01
  1.034209E+01 -1.400000E+01
  1.031608E+01 -1.400000E+01
  1.031578E+01 -1.400000E+01
  1.028976E+01 -1.400000E+01
  1.028946E+01 -1.400000E+01
  1.026345E+01 -1.400000E+01
  1.026315E+01 -1.400000E+01
  1.023713E+01 -1.400000E+01
  1.023683E+01 -1.400000E+01
  1.021082E+01 -1.400000E+01
  1.021052E+01 -1.400000E+01
  1.018450E+01 -1.400000E+01
  1.018420E+01 -1.400000E+01
  1.015819E+01 -1.400000E+01
  1.015789E+01 -1.400000E+01
  1.013187E+01 -1.400000E+01
  1.013157E+01 -1.400000E+01
  1.010556E+01 -1.400000E+01
  1.010526E+01 -1.400000E+01
  1.007924E+01 -1.400000E+01
  1.007894E+01 -1.400000E+01
  1.005293E+01 -1.400000E+01
  1.005263E+01 -1.400000E+01
  1.002662E+01 -1.400000E+01
  1.002631E+01 -1.400000E+01
  1.000030E+01 -1.400000E+01
  1.000000E+01 -1.400000E+01
  9.973985E+00 -1.400000E+01
  9.973685E+00 -1.400000E+01
  9.947670E+00 -1.400000E+01
  9.947370E+00 -1.400000E+01
  9.921355E+00 -1.400000E+01
  9.921055E+00 -1.400000E+01
  9.895041E+00 -1.400000E+01
  9.894740E+00 -1.400000E+01
  9.868726E+00 -1.400000E+01
