  2.100000E+01 -1.272078E+01
  2.100000E+01 -1.272047E+01
  2.100000E+01 -1.269752E+01
  2.100000E+01 -1.269721E+01
  2.100000E+01 -1.267427E+01
  2.100000E+01 -1.267396E+01
  2.100000E+01 -1.265102E+01
  2.100000E+01 -1.265070E+01
  2.100000E+01 -1.262776E+01
  2.100000E+01 -1.262745E+01
  2.100000E+01 -1.260451E+01
  2.100000E+01 -1.260420E+01
  2.100000E+01 -1.258126E+01
  2.100000E+01 -1.258094E+01
  2.100000E+01 -1.255800E+01
  2.100000E+01 -1.255769E+01
  2.100000E+01 -1.253475E+01
  2.100000E+01 -1.253444E+01
  2.100000E+01 -1.251149E+01
  2.100000E+01 -1.251118E+01
  2.100000E+01 -1.248824E+01
  2.100000E+01 -1.248793E+01
  2.100000E+01 -1.246499E+01
  2.100000E+01 -1.246467E+01
  2.100000E+01 -1.244173E+01
  2.100000E+01 -1.244142E+01
  2.100000E+01 -1.241848E+01
  2.100000E+01 -1.241817E+01
  2.100000E+01 -1.239523E+01
  2.100000E+01 -1.239491E+01
  2.100000E+01 -1.237197E+01
  2.100000E+01 -1.237166E+01
  2.100000E+01 -1.234872E+01
  2.100000E+01 -1.234841E+01
  2.100000E+01 -1.232546E+01
  2.100000E+01 -1.232515E+01
  2.100000E+01 -1.230221E+01
  2.100000E+01 -1.230190E+01
  2.100000E+01 -1.227896E+01
  2.100000E+01 -1.227864E+01
  2.100000E+01 -1.225570E+01
  2.100000E+01 -1.225539E+01
  2.100000E+01 -1.223245E+01
  2.100000E+01 -1.223214E+01
  2.100000E+01 -1.220920E+01
  2.100000E+01 -1.220888E+01
  2.100000E+01 -1.218594E+01
  2.100000E+01 -1.218563E+01
  2.100000E+01 -1.216269E+01
  2.100000E+01 -1.216238E+01
  2.100000E+01 -1.213943E+01
  2.100000E+01 -1.213912E+01
  2.100000E+01 -1.211618E+01
  2.100000E+01 -1.211587E+01
  2.100000E+01 -1.209293E+01
  2.100000E+01 -1.209261E+01
  2.100000E+01 -1.206967E+01
  2.100000E+01 -1.206936E+01
  2.100000E+01 -1.204642E+01
  2.100000E+01 -1.204611E+01
  2.100000E+01 -1.202317E+01
  2.100000E+01 -1.202285E+01
  2.100000E+01 -1.199991E+01
  2.100000E+01 -1.199960E+01
  2.100000E+01 -1.197666E+01
  2.100000E+01 -1.197634E+01
  2.100000E+01 -1.195340E+01
  2.100000E+01 -1.195309E+01
  2.100000E+01 -1.193015E+01
  2.100000E+01 -1.192984E+01
  2.100000E+01 -1.190690E+01
  2.100000E+01 -1.190658E+01
  2.100000E+01 -1.188364E+01
  2.100000E+01 -1.188333E+01
  2.100000E+01 -1.186039E+01
  2.100000E+01 -1.186008E+01
  2.100000E+01 -1.183714E+01
  2.100000E+01 -1.183682E+01
  2.100000E+01 -1.181388E+01
  2.100000E+01 -1.181357E+01
  2.100000E+01 -1.179063E+01
  2.100000E+01 -1.179031E+01
  2.100000E+01 -1.176737E+01
  2.100000E+01 -1.176706E+01
  2.100000E+01 -1.174412E+01
  2.100000E+01 -1.174381E+01
  2.100000E+01 -1.172087E+01
  2.100000E+01 -1.172055E+01
  2.100000E+01 -1.169761E+01
  2.100000E+01 -1.169730E+01
  2.100000E+01 -1.167436E+01
  2.100000E+01 -1.167405E+01
  2.100000E+01 -1.165111E+01
  2.100000E+01 -1.165079E+01
  2.100000E+01 -1.162785E+01
  2.100000E+01 -1.162754E+01
  2.100000E+01 -1.160460E+01
  2.100000E+01 -1.160428E+01
  2.100000E+01 -1.158134E+01
  2.100000E+01 -1.158103E+01
  2.100000E+01 -1.155809E+01
  2.100000E+01 -1.155778E+01
  2.100000E+01 -1.153484E+01
  2.100000E+01 -1.153452E+01
  2.100000E+01 -1.151158E+01
  2.100000E+01 -1.151127E+01
  2.100000E+01 -1.148833E+01
  2.100000E+01 -1.148802E+01
  2.100000E+01 -1.146508E+01
  2.100000E+01 -1.146476E+01
  2.100000E+01 -1.144182E+01
  2.100000E+01 -1.144151E+01
  2.100000E+01 -1.141857E+01
  2.100000E+01 -1.141825E+01
  2.100000E+01 -1.139531E+01
  2.100000E+01 -1.139500E+01
  2.100000E+01 -1.137206E+01
  2.100000E+01 -1.137175E+01
  2.100000E+01 -1.134881E+01
